tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
173,Nauclea_diderrichii,44,37.5557,55.0,36.0,27.5,31.9,22.4,22.099999999999998,4.95,9.5,0.001924671375,0.29780564263322884,0.11078932382558951,18.918374749999998,13.284375999999998,1631.1224976937262,5.352975174156808
174,Nauclea_diderrichii,44,41.37492,55.0,30.0,20.0,32.1,21.8,21.5,5.94,10.3,0.0027715267800000006,0.3208722741433022,0.13446848859325272,16.389457500000002,11.130535,1792.8271170269527,3.7969862332907893
175,Nauclea_diderrichii,44,35.00955,45.0,30.0,17.5,32.2,23.2,22.900000000000002,6.14,9.0,0.0029613035799999996,0.2795031055900621,0.09627626783895636,15.386635833333333,11.086023333333333,1252.1905377989037,4.963277493604525
176,Nauclea_diderrichii,44,40.10185,45.0,30.0,20.0,36.2,22.8,22.5,7.435,13.4,0.00434218312375,0.3701657458563536,0.1263208402323374,17.534978333333335,11.04413,1429.6602037224118,3.834614033406859
177,Nauclea_diderrichii,44,31.82686,40.0,27.5,17.5,24.6,20.6,20.3,2.05,4.0,0.00033010637499999995,0.16260162601626016,0.07956714532145158,10.788842500000003,9.03455916666667,1017.0592327918789,5.51195888153968
178,Nauclea_diderrichii,44,35.00955,42.5,30.0,15.0,18.4,10.8,10.5,13.74,7.6,0.01482926598,0.41304347826086957,0.09627626783895636,8.551476666666666,5.019345,1184.2478365069087,4.827297288300292
179,Nauclea_diderrichii,44,35.00955,45.0,30.0,17.5,33.1,20.1,19.8,6.14,13.0,0.0029613035799999996,0.39274924471299094,0.09627626783895636,15.816697083333333,9.60470125,1252.1905377989037,4.963277493604525
180,Nauclea_diderrichii,44,32.4634,35.0,25.0,15.0,23.1,16.1,15.8,5.605,7.0,0.00246772876375,0.30303030303030304,0.08278167227243799,9.072525,6.323275000000001,910.2064539389028,4.744407659553471
181,Nauclea_diderrichii,44,42.96626,50.0,30.0,20.0,29.4,17.4,17.099999999999998,11.625,12.0,0.010615296093749999,0.40816326530612246,0.14501111559834595,14.626009999999997,8.656209999999998,1694.8691219045395,3.4306565485039804
182,Nauclea_diderrichii,44,35.42011,50.0,30.0,27.5,25.3,19.3,19.0,6.6,6.0,0.0034216379999999994,0.23715415019762845,0.09854758831397047,13.083157083333331,9.980432083333332,1403.6912234390566,5.2474225110998916
183,Nauclea_diderrichii,44,22.18842,31.5,20.0,10.0,18.2,12.2,11.899999999999999,6.465,6.0,0.0032830934737499997,0.32967032967032966,0.03867220589367222,5.7899205,3.8811554999999998,566.4732387336785,8.226256885233793
